acquisition_date,aqusition_way,count
1700.0,,1
1702.0,Purchase,1
1702.0,,2
1703.0,Purchase,1
1703.0,,1
1704.0,Donation,1
1704.0,,1
1705.0,,1
1706.0,,1
1707.0,Donation,1
1707.0,,2
1708.0,Division of Finds,1
1708.0,,1
1709.0,Division of Finds,1
1709.0,Purchase,1
1709.0,,2
1710.0,Division of Finds,1
1710.0,,1
1711.0,,2
1712.0,Purchase,1
1713.0,Purchase,1
1713.0,,1
1714.0,Purchase,1
1714.0,,1
1716.0,,1
1717.0,Donation,1
1717.0,,1
1718.0,,1
1719.0,Purchase,1
1720.0,,1
1722.0,,1
1723.0,Purchase,2
1723.0,,1
1726.0,Purchase,1
1726.0,,1
1727.0,,1
1729.0,Purchase,1
1730.0,Purchase,1
1731.0,Purchase,1
1732.0,Purchase,1
1732.0,,2
1733.0,Purchase,1
1734.0,Purchase,1
1734.0,,1
1735.0,,1
1736.0,,1
1737.0,,1
1738.0,Purchase,1
1738.0,,3
1739.0,,1
1740.0,Purchase,1
1740.0,,1
1741.0,,1
1742.0,,1
1744.0,,1
1746.0,,1
1747.0,Division of Finds,1
1747.0,Purchase,1
1747.0,,1
1750.0,Purchase,2
1750.0,,1
1751.0,,1
1753.0,Bequest,624
1753.0,Division of Finds,1
1753.0,Donation,2
1753.0,Purchase,1
1753.0,Transfer,28
1753.0,,1
1754.0,Donation,1
1754.0,Purchase,1
1754.0,,1
1755.0,Bequest,1
1756.0,Donation,1
1756.0,,1
1757.0,Donation,3
1757.0,,1
1758.0,Donation,2
1758.0,,1
1759.0,Bequest,1
1759.0,Donation,1
1760.0,,2
1761.0,Donation,1
1761.0,Purchase,1
1761.0,,1
1762.0,Donation,4
1763.0,Donation,2
1763.0,,1
1764.0,Donation,1
1765.0,Donation,4
1766.0,Donation,5
1767.0,Donation,1
1769.0,Bequest,30
1769.0,,2
1771.0,Donation,1
1771.0,,1
1772.0,Bequest,1
1772.0,Donation,2
1772.0,Purchase,88
1772.0,,21
1774.0,Donation,2
1775.0,Donation,1
1775.0,Purchase,1
1775.0,,10
1776.0,Bequest,1
1776.0,Donation,3
1776.0,Purchase,1
1777.0,Bequest,1
1777.0,Purchase,1
1777.0,,3
1778.0,Donation,1
1778.0,,38
1779.0,,1
1780.0,Donation,9
1781.0,Donation,2
1781.0,,1
1783.0,,2
1784.0,Donation,5
1784.0,,1
1785.0,Donation,1
1785.0,Purchase,1
1785.0,,1
1786.0,Donation,1
1786.0,,1
1787.0,,1
1789.0,Donation,6
1789.0,Purchase,1
1789.0,,1
1791.0,Bequest,1
1791.0,,2
1792.0,Donation,2
1792.0,,2
1793.0,Purchase,2
1793.0,,1
1795.0,,1
1796.0,Donation,8
1797.0,Division of Finds,1
1797.0,Donation,1
1797.0,,2
1798.0,Purchase,1
1799.0,Bequest,712
1799.0,Donation,2
1799.0,,8
1800.0,Bequest,1
1800.0,Donation,23
1800.0,,38
1801.0,,2
1802.0,Division of Finds,1
1802.0,Donation,12
1802.0,,4
1803.0,Donation,2
1803.0,Purchase,2
1804.0,Bequest,1
1804.0,Donation,39
1804.0,,1
1805.0,Donation,5
1805.0,Purchase,70
1805.0,,2
1806.0,Donation,5
1806.0,Purchase,3
1806.0,,1
1807.0,Donation,3
1807.0,Purchase,1
1807.0,,1
1808.0,Donation,1
1808.0,Transfer,1
1808.0,,3
1809.0,Donation,3
1809.0,,1
1810.0,Donation,31
1810.0,,109
1811.0,Bequest,233
1811.0,Donation,5
1811.0,Purchase,1
1811.0,,17
1812.0,Donation,1
1812.0,Purchase,1
1812.0,,1
1813.0,Donation,14
1813.0,Purchase,1
1813.0,,1
1814.0,Bequest,1
1814.0,Donation,3
1814.0,Purchase,103
1814.0,Transfer,60
1814.0,,15
1815.0,Donation,11
1815.0,Purchase,1
1815.0,,5
1816.0,Bequest,1
1816.0,Donation,5
1816.0,Purchase,26
1816.0,,6
1817.0,Donation,54
1817.0,Purchase,1
1817.0,,4
1818.0,Bequest,4
1818.0,Donation,1020
1818.0,Purchase,537
1818.0,Transfer,1
1818.0,,10
1819.0,Donation,2
1819.0,Purchase,1
1819.0,,4
1820.0,Bequest,1
1820.0,Donation,5
1820.0,Purchase,6
1820.0,,1
1821.0,Bequest,1
1821.0,Donation,4
1821.0,Purchase,33
1821.0,,2
1822.0,Donation,5
1822.0,Transfer,1
1822.0,,4
1823.0,Division of Finds,1
1823.0,Donation,7
1823.0,Purchase,52
1823.0,,3
1824.0,Bequest,206
1824.0,Donation,45
1824.0,Purchase,1
1824.0,Transfer,1
1824.0,,3
1825.0,Donation,242
1825.0,Purchase,69
1825.0,,3
1826.0,Donation,5
1826.0,Purchase,5
1826.0,,3
1827.0,Donation,12
1827.0,Purchase,83
1827.0,,2
1828.0,Bequest,1
1828.0,Donation,15
1828.0,,1
1829.0,Bequest,2
1829.0,Donation,15
1829.0,Purchase,3
1829.0,,1
1830.0,Donation,4
1830.0,Purchase,7
1830.0,,2
1831.0,Donation,15
1831.0,Purchase,15
1831.0,,1
1832.0,Donation,7
1832.0,Purchase,21
1832.0,Transfer,1
1832.0,,6
1833.0,Donation,17
1833.0,Purchase,28
1833.0,,39
1834.0,Bequest,22
1834.0,Donation,63
1834.0,Purchase,151
1834.0,,3
1835.0,Donation,13
1835.0,Purchase,263
1835.0,,14
1836.0,Donation,34
1836.0,Purchase,301
1836.0,,14
1837.0,Donation,42
1837.0,Purchase,171
1837.0,Transfer,2
1837.0,,268
1838.0,Donation,36
1838.0,Purchase,197
1838.0,Transfer,6
1838.0,,4
1839.0,Donation,44
1839.0,Purchase,241
1839.0,,7
1840.0,Donation,37
1840.0,Purchase,117
1840.0,,8
1841.0,Donation,84
1841.0,Purchase,171
1841.0,,9
1842.0,Donation,46
1842.0,Purchase,125
1842.0,,8
1843.0,Donation,60
1843.0,Purchase,248
1843.0,Transfer,1
1843.0,,10
1844.0,Donation,13
1844.0,Purchase,141
1844.0,,9
1845.0,Donation,44
1845.0,Purchase,84
1845.0,,18
1846.0,Donation,51
1846.0,Purchase,98
1846.0,Transfer,3
1846.0,,11
1847.0,Donation,53
1847.0,Purchase,303
1847.0,Transfer,1
1847.0,,14
1848.0,Donation,94
1848.0,Purchase,300
1848.0,Transfer,2
1848.0,,90
1849.0,Donation,70
1849.0,Exchange,1
1849.0,Purchase,442
1849.0,Transfer,2
1849.0,,49
1850.0,Division of Finds,1
1850.0,Donation,38
1850.0,Purchase,400
1850.0,Transfer,8
1850.0,,37
1851.0,Donation,146
1851.0,Purchase,278
1851.0,Transfer,55
1851.0,,121
1852.0,Bequest,1
1852.0,Donation,91
1852.0,Purchase,401
1852.0,Transfer,2
1852.0,,17
1853.0,Bequest,5
1853.0,Donation,136
1853.0,Purchase,486
1853.0,Transfer,20
1853.0,,102
1854.0,Bequest,2
1854.0,Donation,129
1854.0,Purchase,390
1854.0,Transfer,1
1854.0,,37
1855.0,Bequest,4
1855.0,Donation,255
1855.0,Exchange,1
1855.0,Purchase,452
1855.0,Transfer,1
1855.0,,117
1856.0,Bequest,135
1856.0,Donation,150
1856.0,Purchase,907
1856.0,Transfer,6
1856.0,,252
1857.0,Donation,116
1857.0,Purchase,152
1857.0,Transfer,17
1857.0,,42
1858.0,Donation,67
1858.0,Purchase,182
1858.0,Transfer,10
1858.0,,11
1859.0,Bequest,25
1859.0,Donation,104
1859.0,Purchase,257
1859.0,Transfer,4
1859.0,,78
1860.0,Bequest,1
1860.0,Donation,146
1860.0,Purchase,291
1860.0,Transfer,7
1860.0,,38
1861.0,Bequest,3
1861.0,Division of Finds,1
1861.0,Donation,165
1861.0,Purchase,260
1861.0,Transfer,2
1861.0,,33
1862.0,Donation,118
1862.0,Purchase,293
1862.0,Transfer,6
1862.0,,17
1863.0,Donation,77
1863.0,Purchase,298
1863.0,Transfer,16
1863.0,,42
1864.0,Bequest,6
1864.0,Donation,109
1864.0,Purchase,356
1864.0,Transfer,2
1864.0,,352
1865.0,Bequest,539
1865.0,Donation,155
1865.0,Purchase,533
1865.0,Transfer,5
1865.0,,26
1866.0,Bequest,41
1866.0,Donation,289
1866.0,Exchange,1
1866.0,Purchase,466
1866.0,Transfer,1
1866.0,,40
1867.0,Bequest,1
1867.0,Donation,184
1867.0,Purchase,560
1867.0,Transfer,1
1867.0,,47
1868.0,Bequest,255
1868.0,Donation,225
1868.0,Exchange,30
1868.0,Purchase,653
1868.0,Transfer,11
1868.0,,121
1869.0,Bequest,8
1869.0,Donation,875
1869.0,Exchange,69
1869.0,Purchase,239
1869.0,Transfer,2
1869.0,,46
1870.0,Bequest,16
1870.0,Donation,368
1870.0,Exchange,8
1870.0,Purchase,499
1870.0,Transfer,7
1870.0,Treasure Trove,2
1870.0,,178
1871.0,Bequest,10
1871.0,Donation,303
1871.0,Exchange,1
1871.0,Purchase,401
1871.0,Treasure Trove,4
1871.0,,48
1872.0,Bequest,6
1872.0,Donation,376
1872.0,Exchange,23
1872.0,Purchase,471
1872.0,Transfer,2
1872.0,,160
1873.0,Bequest,9
1873.0,Donation,266
1873.0,Exchange,3
1873.0,Purchase,487
1873.0,Transfer,1
1873.0,Treasure Trove,1
1873.0,,61
1874.0,Bequest,69
1874.0,Division of Finds,1
1874.0,Donation,118
1874.0,Purchase,314
1874.0,Transfer,2
1874.0,,57
1875.0,Bequest,2
1875.0,Division of Finds,1
1875.0,Donation,218
1875.0,Purchase,589
1875.0,Transfer,14
1875.0,,65
1876.0,Division of Finds,1
1876.0,Donation,314
1876.0,Purchase,348
1876.0,Treasure Trove,2
1876.0,,101
1877.0,Bequest,1
1877.0,Donation,767
1877.0,Purchase,261
1877.0,Transfer,34
1877.0,,91
1878.0,Bequest,146
1878.0,Division of Finds,1
1878.0,Donation,349
1878.0,Exchange,3
1878.0,Purchase,267
1878.0,,98
1879.0,Bequest,3
1879.0,Division of Finds,1
1879.0,Donation,537
1879.0,Purchase,276
1879.0,Transfer,1
1879.0,,75
1880.0,Bequest,1
1880.0,Division of Finds,1
1880.0,Donation,205
1880.0,Purchase,288
1880.0,Transfer,335
1880.0,,604
1881.0,Bequest,63
1881.0,Donation,153
1881.0,Purchase,932
1881.0,Transfer,4
1881.0,,259
1882.0,Bequest,1
1882.0,Donation,219
1882.0,Exchange,1
1882.0,Purchase,429
1882.0,Transfer,80
1882.0,,242
1883.0,Bequest,1
1883.0,Donation,445
1883.0,Purchase,305
1883.0,,202
1884.0,Bequest,1
1884.0,Donation,246
1884.0,Purchase,211
1884.0,Transfer,2
1884.0,,165
1885.0,Bequest,1
1885.0,Donation,537
1885.0,Exchange,5
1885.0,Purchase,182
1885.0,Treasure Trove,1
1885.0,,54
1886.0,Donation,738
1886.0,Purchase,322
1886.0,Transfer,14
1886.0,Treasure Trove,1
1886.0,,135
1887.0,Bequest,26
1887.0,Donation,1393
1887.0,Purchase,320
1887.0,Transfer,2
1887.0,,60
1888.0,Bequest,96
1888.0,Donation,653
1888.0,Purchase,243
1888.0,Transfer,5
1888.0,,116
1889.0,Bequest,45
1889.0,Division of Finds,1
1889.0,Donation,677
1889.0,Exchange,10
1889.0,Purchase,349
1889.0,Transfer,37
1889.0,,76
1890.0,Bequest,3
1890.0,Donation,363
1890.0,Exchange,3
1890.0,Purchase,238
1890.0,Transfer,11
1890.0,,102
1891.0,Bequest,296
1891.0,Donation,643
1891.0,Exchange,50
1891.0,Purchase,513
1891.0,Transfer,4
1891.0,,147
1892.0,Donation,311
1892.0,Exchange,20
1892.0,Purchase,458
1892.0,Transfer,2
1892.0,,55
1893.0,Division of Finds,1
1893.0,Donation,411
1893.0,Purchase,506
1893.0,Transfer,4
1893.0,,73
1894.0,Bequest,1
1894.0,Donation,279
1894.0,Purchase,344
1894.0,Transfer,85
1894.0,Treasure Trove,1
1894.0,,153
1895.0,Bequest,4
1895.0,Donation,368
1895.0,Exchange,4
1895.0,Purchase,428
1895.0,Transfer,76
1895.0,Treasure Trove,6
1895.0,,56
1896.0,Bequest,85
1896.0,Division of Finds,13
1896.0,Donation,563
1896.0,Exchange,3
1896.0,Purchase,266
1896.0,,167
1897.0,Bequest,1218
1897.0,Division of Finds,1
1897.0,Donation,343
1897.0,Purchase,357
1897.0,Transfer,1
1897.0,Treasure Trove,1
1897.0,,202
1898.0,Bequest,304
1898.0,Donation,256
1898.0,Exchange,16
1898.0,Purchase,538
1898.0,Transfer,1
1898.0,,115
1899.0,Bequest,14
1899.0,Donation,171
1899.0,Exchange,7
1899.0,Purchase,326
1899.0,,77
1900.0,Bequest,112
1900.0,Donation,434
1900.0,Exchange,2
1900.0,Purchase,505
1900.0,Transfer,13
1900.0,Treasure Trove,2
1900.0,,66
1901.0,Bequest,87
1901.0,Donation,386
1901.0,Exchange,9
1901.0,Purchase,868
1901.0,Transfer,1
1901.0,,28
1902.0,Bequest,158
1902.0,Donation,475
1902.0,Exchange,2
1902.0,Purchase,289
1902.0,Transfer,7
1902.0,Treasure Trove,26
1902.0,,57
1903.0,Bequest,40
1903.0,Donation,331
1903.0,Purchase,144
1903.0,Transfer,2
1903.0,,56
1904.0,Bequest,44
1904.0,Donation,387
1904.0,Exchange,5
1904.0,Purchase,262
1904.0,Transfer,3
1904.0,,56
1905.0,Bequest,1
1905.0,Donation,520
1905.0,Purchase,522
1905.0,Transfer,2
1905.0,Treasure Trove,2
1905.0,,112
1906.0,Bequest,20
1906.0,Donation,971
1906.0,Purchase,519
1906.0,Transfer,3
1906.0,Treasure Trove,1
1906.0,,63
1907.0,Bequest,1
1907.0,Donation,637
1907.0,Exchange,2
1907.0,Purchase,476
1907.0,Transfer,6
1907.0,Treasure Trove,1
1907.0,,250
1908.0,Donation,463
1908.0,Exchange,3
1908.0,Purchase,427
1908.0,Transfer,2
1908.0,Treasure Trove,1
1908.0,,43
1909.0,Donation,1135
1909.0,Exchange,9
1909.0,Purchase,437
1909.0,Transfer,2
1909.0,Treasure Trove,1
1909.0,,106
1910.0,Bequest,15
1910.0,Donation,531
1910.0,Exchange,5
1910.0,Purchase,577
1910.0,Transfer,2
1910.0,,58
1911.0,Bequest,1
1911.0,Donation,392
1911.0,Purchase,253
1911.0,Transfer,3
1911.0,Treasure Trove,9
1911.0,,112
1912.0,Bequest,2
1912.0,Donation,444
1912.0,Exchange,4
1912.0,Purchase,309
1912.0,Transfer,15
1912.0,Treasure Trove,1
1912.0,,171
1913.0,Bequest,69
1913.0,Donation,774
1913.0,Exchange,3
1913.0,Purchase,548
1913.0,Transfer,3
1913.0,,135
1914.0,Bequest,25
1914.0,Donation,328
1914.0,Exchange,11
1914.0,Purchase,325
1914.0,Transfer,44
1914.0,Treasure Trove,1
1914.0,,132
1915.0,Bequest,10
1915.0,Donation,372
1915.0,Exchange,1
1915.0,Purchase,148
1915.0,Transfer,242
1915.0,,99
1916.0,Bequest,13
1916.0,Donation,263
1916.0,Purchase,3
1916.0,Transfer,3
1916.0,,26
1917.0,Bequest,7
1917.0,Donation,182
1917.0,Purchase,4
1917.0,,383
1918.0,Bequest,2
1918.0,Donation,148
1918.0,Exchange,2
1918.0,Purchase,13
1918.0,Transfer,4
1918.0,,50
1919.0,Bequest,799
1919.0,Donation,452
1919.0,Purchase,248
1919.0,Transfer,1
